MODELO,PLACA,SERVICIO / Descripción,FECHA,COSTO,
Honda Civic,AA25F80,Limpieza y reparacion,14-01-25,40,
Aveo blanco,AE614LD,Limpieza y reparacion ,14-01-25,50,
Chevrolet Orlando,AE716MD,Limpieza y reparacion ,15-01-25,110,
Kia Sportage,AD899UM,cambio de tanque,15-01-25,90,
Kia Cerato,AA25E40,Null,16-01-25,170,
Honda Civic blanco,SIN-PLACA,Limpieza y reparacion ,16-01-25,50,
Chevrolet Dmax,A93AD2F,reparación Limpieza ,17-01-25,80,
Chevrolet Steam,AA572B0,Limpieza y reparacion montura de tanque y manguera,17-01-25,70,
Wolfwagen Golf,VC0 48E,Limpieza y reparacion y cambio de tanque,17-01-25,50,
Chery plateado,AG324WM,Limpieza y reparacion y lavado,17-01-25,70,
Toyota Camry,AJ13JYG,Limpieza y reparacion y montura,17-01-25,90,
Mitsubishi LRV,AH450LM,Limpieza y reparacion y lavado,17-01-25,50,
Hyundai Elantra,AB767KD,Limpieza y reparacion ,17-01-25,50,
Kia óptima plateado,13848,Limpieza y reparacion,20-01-25,60,
Hyundai Elantra,FBI 74M,Limpieza y reparacion,20-01-25,40,
Chevrolet Spark azul,AG968IG,Limpieza y reparacion,20-01-25,40,
Jeep,AA087EJ,"Limpieza y reparacion, lavado y montura radiador nuevo",21-01-25,280,
Toyota Corolla,FBW 85I,"revisión, reparación de radiador tubería rota",21-01-25,50,
Aveo,DCP80I,reparación y Limpieza ,23-01-25,80,
Jeep,MFM70L,montura de radiador nuevo,23-01-25,260,
Mitsubishi Galant,SIN-PLACA,Limpieza y reparacion,24-01-25,20,
Ford Explorer,SIN-PLACA,Limpieza y reparacion,24-01-25,60,
Mercedes C200 blanco,AA455MY,Limpieza y reparacion ,27-01-25,90,
Mitsubishi Montero Sport,AA26K20,radiador nuevo,27-01-25,250,
Toyota 4500,AF758EM,cambio de tanque,27-01-25,70,
Chevrolet Optra azul,SIN-PLACA,Limpieza y reparacion cambio de tanque inferior,27-01-25,100,
Nissan Altima,AA99L50,Limpieza y reparacion,27-01-25,90,
Toyota Meru,BCA 890,Limpieza y reparacion,28-01-25,40,
Jeep,AA157IN,radiador nuevo,28-01-25,280,
Hyundai Elantra,G535IA,Limpieza y reparacion,28-01-25,40,
Chevrolet Silverado,A76AR5N,cambio de tanque,28-01-25,80,
Ford Explorer,RAL87C,cambio de tanque,29-01-25,80,
Nissan Murano,SIN-PLACA,Limpieza y reparacion,30-01-25,40,
Chevrolet Corsa,GCG97C,Limpieza y reparacion,31-01-25,40,
Honda Civic,AA82G80,Limpieza y reparacion,31-01-25,40,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TOYOTA TERIOS,AAB26PF,Null,2025-02-03,100,
Nissan,7A1A1C0,limpieza,2025-02-04,50,
Ford Fiesta Titanium,AH981NG,MONTURA DE TANQUE INFERIOR,2025-02-05,70,
CHEVROLET STEAM,GAW10A,MONTURA DE TANQUE,2025-02-06,60,
CHEVROLET CORSA,VC73E,MONTURA DE TANQUE,2025-02-07,70,
Toyota TERIOS,DDC74V,LIMPIEZA,2025-02-08,50,
Toyota 4Runner,AA37000,rad nuevo,2025-02-09,260,
Chevrolet Aveo,AC507MV,LIMPIEZA Y MANTENIMIENTO,2025-02-10,50,
Chevrolet Spark,BBX61F,radiador nuevo,2025-02-11,140,
Toyota 4Runner,AA491KI,LIMPIEZA Y cambio de tanque,2025-02-12,90,
Toyota Corolla,AA120MO,limpieza y reparación,2025-02-13,50,
Hyundai Spark,AA10VB,reparación y limpieza,2025-02-14,30,
Honda CRV,AB410CC,limpieza y mantenimiento,14-02-25,100,
Hyundai Elantra,AE908GA,reparación y limpieza,14-02-25,30,
Chevrolet Plateado,AG053HA,limpieza y reparación,14-02-25,60,
Neon Chrysler,MEF02Z,limpieza y mantenimiento,17-02-25,50,
Ford,RAM56A,limpieza,17-02-25,70,
Chevrolet Captiva,AR160BG,limpieza y montura de tanque,18-02-25,150,
Ford Mustang,AA42I50,rad nuevo,18-02-25,180,
Yaris negro,14968,limpieza,19-02-25,20,
Nissan B16,SIN-PLACA,Cambio de 2 tanques sal y entrada,19-02-25,100,
Aveo,AG985FA,limpieza,19-02-25,70,
Toyota Corolla,AE188SM,limpieza y cambio de tq,20-02-25,50,
Chevrolet Optra,AGC67T,limpieza y montura de tanque,20-02-25,40,
Toyota 4Runner,SIN-PLACA,radiador nuevo,20-02-25,270,
Ford Fiesta Titanium,AH981NG,Null,21-02-25,80,
Aveo,AE295DG,limpieza y reparación,21-02-25,30,
Toyota 4Runner,AA7020D,limpieza cambio de tanque,21-02-25,100,
Kia Sportage,AD899UM,SIN-PLACA,24-02-25,50,
JEEP Limited,KBK62G,limpieza,24-02-25,50,
Kia Pregio,SIN-PLACA,Cambio de tanque inferior,24-02-25,50,
Nissan,SIN-PLACA,Cambio de tanque,24-02-25,45,
Renault Logan,AA67GM,limpieza y montura de tanque,25-02-25,50,
Nissan Sentra,0AH61M,limpieza,26-02-25,40,
Ford Explorer,AB34JM,lavado de bloque y anticorrosivo,26-02-25,40,
Renault Logan,KBK35X,limpieza y lavado,28-02-25,50,
Chery Arauca,AF871PM,lavado y cambio de tq,28-02-25,80,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Kia Sportage,AC92SS,Limpieza y reparación,2025-03-03,40,
Toyota Yaris plateado,AG104ZG,Limpieza,2025-05-03,50,
Kia Sportage azul,AA670IX,Null,2025-05-03,60,
Renault Logan,AH900F0,Lavado de bloque,2025-05-03,20,
Chevrolet Aveo,AB797IG,"Limpieza y lavado, montura de tanque inferior",2025-05-03,50,
Chevrolet,GCS120,"Limpieza, lavado y anticorrosivo",2025-06-03,40,
Toyota 4runner 2002,AA5H70,Reparación y mantenimiento,2025-06-03,90,
Toyota Camry año 98,AH105SG,Null,2025-06-03,80,
Mercedes,FAJ170,"Lavado, cambio de tanque",2025-07-03,80,
Nissan B13,AA68C40,Montura de tanque,2025-07-03,50,
Chevrolet Spark,MFR74U,Radiador nuevo,2025-07-03,60,
Ford Scape,DBY28M,"Montura de tanque, limpieza",2025-10-03,60,
Nissan Sentra,12583,Montura de tanque superior,2025-10-03,120,
Ford Explorer verde,AB627CE,Cambio de tanque,2025-10-03,20,
Chevrolet Captiva,AB160BG,Montura de manguera,2025-12-03,170,
Toyota Corolla 98,MY52N,Montura radiador nuevo,2025-12-03,50,
Toyota Corolla blanco,AA939A0,Limpieza y lavado,2025-12-03,40,
Toyota Yaris,AA55A40,Limpieza y lavado,13-03-25,60,
Trail Blazer,BCCOON,"Limpieza, montura de tanque",14-03-25,40,
Chery Arauca,AF871PM,Null,14-03-25,100,
Nissan Sentra,11856,Null,14-03-25,20,
Nissan Sentra,AA60A10,Radiador usado Nissan B16,17-03-25,50,
Honda Pilot,AF021JS,Revisión y tapa 1.1,18-03-25,50,
Subaru,AA66K90,Null,18-03-25,30,
Chevrolet DMAX,A03AU7V,Null,18-03-25,95,
Mitsubishi Lancer negro,MBN00N,Revisión y tapa,18-03-25,30,
Chevrolet Corsa,MCU50W,Reparación,19-03-25,50,
Chevrolet blanco,GAW10A,Limpieza,19-03-25,50,
Neon Chrysler,0AB72E,Limpieza y cambio de tanque,19-03-25,280,
Toyota TERIOS plateada,700839,Mantenimiento y reparación (garantía por aire),20-03-25,60,
Mitsubishi Montero,AFW770,Radiador nuevo,20-03-25,260,
Gelly,AA862WA,Limpieza y reparación,20-03-25,110,
Jeep Liberty,AD616FM,Radiador nuevo,21-03-25,70,
Toyota Corolla 2010,SIN-PLACA,Null,21-03-25,50,
Chevrolet Optra,GCY16L,Limpieza,24-03-25,50,
Honda Civic,AA8540D,Limpieza y reparación,24-03-25,260,
Chery Arauca,AE4700K,"Limpieza, montura de tanque",24-03-25,50,
Toyota 4runner plateada,13188,Radiador nuevo,26-03-25,40,
Ford Ecosport,AG984PG,Null,26-03-25,90,
Renault Megane,MED95I,Null,27-03-25,90,
X-Trail blanca,AA38H80,Montura de tanque,27-03-25,80,
Toyota Corolla 2009,SIN-PLACA,Cambio de tanque,27-03-25,60,
Nissan Sentra,SIN-PLACA,Cambio de tanque,28-03-25,90,
Ford Explorer,MAJ93P,Reparación,31-03-25,90,
Nissan B16,5996,"Reparación, cambio de 2 tanques",31-03-25,90,
Ford Fiesta blanco,AB538ID,Mantenimiento y cambio de tanque,31-03-25,40,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Ford Fiesta Rojo,LBB63E,Rad nuevo,2025-01-04,170,
Kia Sportage,AD899UM,Rad nuevo,2025-03-04,250,
Ford Explorer Azul,0AN78U,Null,2025-03-04,70,
Ford Fiesta Beigh,AA360AY,Limpieza,2025-03-04,40,
Kia Sorento,AB451LN,Montura de TQ,2025-04-04,80,
Toyota 4Runner Plateada,AA49KI,Reparación,2025-07-04,20,
Hyundai Spark,IAP00O,Limpieza y anticorrosivo + abrazaderas/mangueras,2025-07-04,80,
Renault Simbol Plateado,AA322E0,Cambio de TQ,2025-07-04,80,
Chevrolet Aveo,AB271YD,Limpieza,2025-07-04,40,
Hyundai Elantra,AA825F0,Limpieza y reparación,2025-08-04,50,
Hyundai Santa Fe,AA58J10,Limpieza y montura de TQ,2025-09-04,100,
Ford Ecosport,0AP25D,Limpieza y montura de rad,2025-10-04,40,
Toyota Corolla Negro,AA559MO,Reparación,2025-11-04,40,
Jeep Cheroke Plateado,AEV06E,Reparación,2025-11-04,50,
Toyota Corolla Verde,AA99I60,Null,2025-11-04,40,
Hyundai,AB104MG,Limpieza,14-04-25,80,
Tucson Azul,MEH03P,Reparación y montura de TQ,14-04-25,60,
Ford Fiesta Verde,MFJ89U,Reparación y montura de TQ,14-04-25,70,
Chevrolet Eclipse,MBN00N,Garantía,15-04-25,53,
Citroen negro C4,AA13E10,Null,16-04-25,60,
Hyundai Tucson,AG862DV,Null,16-04-25,40,
Chevrolet Spark Celeste,AC308MA,Limpieza y lavado,16-04-25,310,
Toyota 4Runner Plateada,AB443GM,Radiador nuevo,21-04-25,50,
Hyundai Getz Verde,AB647FB,Limpieza y reparación,21-04-25,42,
Chery Arauca,AI676GG,Limpieza,21-04-25,30,
Toyota Yaris Negro,AE907BK,Limpieza,21-04-25,230,
Honda Civic Emotion,11176,Radiador nuevo,22-04-25,80,
Doge,HDJ11I,Limpieza y reparación,22-04-25,110,
Terios Bigo Plateada,AA959BR,Limpieza y reparación,23-04-25,70,
Yaris,AA31G80,Limpieza y montura de TQ,23-04-25,70,
Honda Civic Plateado,AA26A30,Limpieza y reparacion,23-04-25,50,
Toyota Terios Plateada,MEF260,Limpieza y lavado,23-04-25,97,
Hyundai Elantra,AA226J0,Cambio de tanque superior,24-04-25,80,
Kia Cerato,13150,Reparación,24-04-25,110,
Ford Fiesta Negro,AB570IE,Limpieza y lavado,24-04-25,40,
Daewoo Matiz Azul,OAF85J,Limpieza,24-04-25,30,
Daewoo Espero Plateado,GAM29I,Limpieza,25-04-25,50,
Terios Beego,AA092VL,Limpieza y lavado,25-04-25,30,
Chevrolet Dimax,A45AP8V,Limpieza y cambio de TQ,25-04-25,60,
Chevrolet Optra,AEY06Y,Limpieza y lavado,25-04-25,50,
Optra Negro,AD414WM,Cambio de TQ inferior,28-04-25,65,
Chevrolet Silverado,A37AK9V,Limpieza,28-04-25,60,
Chevrolet Aveo,AH694AG,Limpieza y lavado de bloque,28-04-25,60,
Chevrolet Optra Plateado,AFA18E,Limpieza y montura de TQ,28-04-25,70,
Optra Azul,AC487AA,Limpieza y cambio de TQ,29-04-25,60,
Chery Arauca,QB002FC,Limpieza,29-04-25,70,
Toyota Corolla 98,YGB150,Lavado y cambio de TQ,29-04-25,40,
Toyota Yaris,AB227PN,TQ entrada Yaris,30-04-25,70,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Chevrolet Vitara Gris,AA368MW,TQ ent montura,2025-02-05,60,
Aveo Azul,AF235KG,Limpieza montura de TQ,2025-02-05,60,
Mitsubishi Montero Negra,AA92G70,Null,2025-02-05,60,
Peugeot,SIN-PLACA,Null,2025-05-05,80,
Kia Rio Stylos,AE121KA,Limpieza y reparación,2025-05-05,170,
Nissan Sentra,AAS14K,Null,2025-05-05,40,
Mitsubishi Montero Sport,700961,Null,2025-05-05,70,
Toyota Autana Beigh,MDG53H,Montura de TQ ent,2025-06-05,110,
Chevrolet Vitara,OAL18H,Radiador nuevo,2025-06-05,50,
Toyota Corolla,AD874RG,Limpieza lavado de TQ,2025-07-05,50,
Chevrolet Captiva,AB160BG,Garantía,2025-07-05,60,
Toyota Yaris Rojo,AD892TG,Limpieza lavado de bloque y tapa,2025-08-05,60,
Doge Caliber,MFM31G,Null,2025-09-05,50,
Chevrolet Cruze,AA832MK,Null,2025-09-05,50,
Toyota Prado,AG058ZG,"Cambio de TQ, limpieza tapa y reparación",2025-12-05,60,
Chevrolet Blanca Vitara,DCE46Y,Null,2025-12-05,50,
Ford Fiesta Blanco,AD849VM,Limpieza,13-05-25,40,
Yaris Azul Oscuro,BBU35A,Limpieza y lavado,13-05-25,50,
Chevrolet Grand Vitara Beigh,AA208FT,Null,14-05-25,50,
Corolla Año 93 Cobre,GBJ70X,Montura de TQ,14-05-25,100,
Ford Explorer Vinotinto,AB342JM,Null,15-05-25,50,
Peugeot Plateado,AA587CM,Limpieza montura de TQ,16-05-25,70,
Honda Civic,9460,Limpieza,19-05-25,55,
Corolla Verde,VAG41W,Limpieza,19-05-25,40,
Hyundai Tucson,7748,Limpieza y lavado,20-05-25,40,
Jeep Liberty,AA939M0,Cambio de TQ y limpieza,21-05-25,60,
Ford Explorer,AA155VA,Limpieza,21-05-25,50,
Chery Arauca Plateado,AC595HD,Limpieza montura de TQ,21-05-25,80,
Yaris Rojo,AC678BB,Null,21-05-25,60,
