MODELO,PLACA,SERVICIO / Descripción,FECHA,COSTO,
Chevrolet Spark,AC906LM,Limpieza,21-05-25,70,
Toyota Corolla,11232,Cambio de TQ,23-05-25,140,
Mercedes E320 Blanco,AC461LE,Null,23-05-25,90,
Doge Caliber,MFM31G,Radiador nuevo,23-05-25,70,
Hyundai Santa Fe,AA60J50,"Limpieza, reparación y cambio de TQ",26-05-25,40,
Peugeot,AHG73S,Cambio de TQ,26-05-25,40,
Toyota Meru,0AK07S,Reparación y cambio de termostato,26-05-25,60,
Hyundai Elantra,AC388LE,Reparación,26-05-25,40,
Chevrolet Spark,AE396LD,Null,27-05-25,40,
Yaris Plateado,AC698FN,Reparación de radiador,27-05-25,80,
Terios Azul,AF949TV,Pag,28-05-25,40,
Mitsubishi Lancer Plateado,AB536VD,Null,28-05-25,,
Toyota Corolla Blanco,AB259JN,Null,28-05-25,,
Chevrolet Spark,AGW82G,Null,28-05-25,,
Chevrolet Dimax,58FXAC,Limpieza y cambio de TQ,30-05-25,40,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Jeep Land Rover Roja,AE003FG,Null,2025-02-06,110,
Camión Chevrolet Blanco,A0AL7V,Null,2025-02-06,130,
Chevrolet Steam,GAW10A,Cambio de manguera,2025-02-06,15,
Honda CRV,AC4220E,Null,2025-03-06,60,
Hyundai Elantra Rojo,AA97BL0,Null,2025-03-06,110,
Hyundai Atos,AA50E70,Null,2025-03-06,80,
Grand Vitara,AA722YN,Null,2025-05-06,100,
Kia Rio Stylus,AA706K0,Null,2025-05-06,50,
Toyota Corolla,AA621BO,Null,2025-05-06,50,
Toyota Terios,AF949TV,Null,2025-06-06,80,
Hyundai Tucson,AB152MT,Null,2025-06-06,200,
Mitsubishi Lancer Blanco,AA985X0,Null,2025-09-06,70,
Hyundai Dorado,AF821AV,Null,2025-09-06,60,
Aveo Chevrolet Dorado,BCD87R,Limpieza y TQ nuevo,2025-10-06,90,
Ford Explorer Gris,AA391UM,Limpieza,2025-10-06,30,
Mitsubishi Outlander,AB648NR,Null,2025-11-06,50,
Mazda Negro,AF040JS,Null,2025-11-06,80,
Toyota Corolla Plateado,0A064E,"Radiador nuevo, mangueras y abrazaderas",2025-11-06,60,
Chery Rojo,AG626AK,Null,2025-11-06,40,
Jeep Laredo,AC11RG,Null,2025-12-06,90,
Grand Vitara,AA89EA,Null,2025-12-06,200,
Toyota Corolla Blanco,AG899JD,Limpieza y reparacion,16-06-25,80,
Toyota 4Runner,SIN-PLACA,Null,16-06-25,,
Hyundai Atos,AA92D90,Null,17-06-25,,
Kia Sportage,AB4740B,Null,17-06-25,,
Renault Logan,0AP07V,Null,17-06-25,,
Ford Explorer,AA800PB,Limpieza y reparación,17-06-25,50,
Hyundai Spark Negro,AB703MV,Null,17-06-25,,
Hyundai Gets,DDC60G,Null,17-06-25,,
Mitsubishi Montero Negro,AA83E70,Null,17-06-25,,
Toyota 4500 Burbuja Roja,AB502M0,Null,17-06-25,,
Kia Sportage,AB921TV,Null,30-06-25,,
Ford Bronco,A90EB4G,Null,30-06-25,,
Hyundai Gets,IAP00H,Null,30-06-25,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Toyota TRD Plateada,AA328YD,Null,2025-01-07,80,
Toyota Corolla Azul Oscuro,AF612AV,Null,2025-02-07,30,
Chevrolet Spark,AG968IG,Null,2025-03-07,30,
Renault Clio Beigh,AA321E0,Null,2025-04-07,160,
Toyota Sienna Roja,AE704GV,Revisión,2025-05-07,40,
Nissan Sentra Gris,5448,"Tapa mala, limpieza sistema",2025-06-07,120,
Hyundai Elantra,AA025JP,Null,2025-07-07,60,
Hyundai Atos Gris,AC916YK,Null,2025-08-07,110,
Toyota 4Runner,AA313JM,Null,2025-09-07,70,
Ford Super Duty,A15AH7T,Null,2025-10-07,80,
Hyundai Spark Azul,AC447KA,Radiador nuevo,2025-11-07,220,
Kia Sportage,AD687KK,Null,2025-12-07,40,
Mercedes,FAJ170,Null,13-07-25,50,
Toyota 4Runner,AB282AA,Null,14-07-25,60,
Renault Logan Gris,AA321E0,Null,15-07-25,80,
BMW,AB002P0,Null,16-07-25,50,
Chery Arauca Blanco,AG099ZM,Null,17-07-25,120,
Chevrolet Spark,AC742MD,Null,18-07-25,200,
Ford Explorer,AC113TS,Null,19-07-25,50,
Mitsubishi Montero Sport,AA61A80,Null,20-07-25,,
Chery Arauca,427A2AI,Limpieza de bloque,21-07-25,40,
Mitsubishi Montero Sport,700961,Reparación y montura de TQ ent,22-07-25,80,
Toyota Montero Sport Negra,AB282AA,Garantía,23-07-25,,
Toyota Starlet Blanco,AA939A0,Cambio de TQ inferior,24-07-25,40,
Optra Aveo Gris,AFI28H,Reparación,25-07-25,20,
Nissan Murano,10220,Null,26-07-25,,
Caravan Verde,FAG35Y,Reparación y limpieza,27-07-25,80,
Jeep Azul Limited,AA119XL,Null,28-07-25,,
Toyota Terios Bigo Azul,AB719LF,Null,29-07-25,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
KIA OPTIMA,13848,Null,2025-01-08,,
Null,A29BY6M,Null,2025-01-08,,
HYUNDAI ELANTRA,MER82D,Null,2025-01-08,,
Null,Null,Radiador nuevo,2025-04-08,220,
JEEP,Null,Reparación,2025-04-08,80,
CHEVROLET SILVERADO,A08AN4A,Null,2025-04-08,,
TOYOTA YARIS,BBU35A,Reparación y limpieza,2025-05-08,80,
CHEVROLET EXPLORER,FBA63H,Cambio de TQ,2025-06-08,50,
CHERY ARAUCA,AC765KB,,2025-06-08,,
FORD BRONCO,416XJT,Reparación,2025-11-08,40,
CHEVROLET CAPTIVA,AA183D0,Null,2025-11-08,,
NISSAN TIIDA,AA98E50,Null,2025-12-08,,
TOYOTA COROLLA,AE404ZG,Null,2025-12-08,,
MITSUBISHI LANCER,AF264AV,Null,2025-12-08,,
TOYOTA YARIS,10938,Null,2025-12-08,,
FORD TRITON,26UGBE,Null,13-08-25,,
CITROËN C4,12752,Null,13-08-25,,
FORD FIESTA,AB789XF,Limpieza y lavado,14-08-25,40,
SUZUKI,AA14L90,Null,14-08-25,,
HYUNDAI ELANTRA,0AG42T,Null,14-08-25,,
CITROËN C4,AA40I80,Limpieza y cambio de TQ,15-08-25,80,
CHEVROLET AVEO LT,AA141AC,Limpieza y cambio de TQ,15-08-25,60,
JEEP,MEP09P,Null,18-08-25,,
FIAT SIENA,AE546EA,Null,18-08-25,,
TOYOTA COROLLA,AA14A60,Null,18-08-25,,
HONDA CIVIC,MFB40P,Null,19-08-25,,
CHEVROLET CAPTIVA,AG045WA,Null,19-08-25,,
TOYOTA 4RUNNER,AH870AG,Null,20-08-25,,
HONDA CR-V,AFX46W,Null,20-08-25,,
FORD FIESTA,AD229VG,Null,20-08-25,,
NISSAN B13,8606,Null,20-08-25,,
MITSUBISHI MONTERO SPORT,AA33K30,Null,20-08-25,,
CHERY ARAUCA,AB621KU,Null,20-08-25,,
JEEP 4X4,0AM20S,Null,21-08-25,,
CHEVROLET VANZ,AB877RT,Null,21-08-25,,
FORD EXPLORER,AA635DX,Null,21-08-25,,
HYUNDAI ELANTRA,700832,Reparación y lavado,21-08-25,80,
TOYOTA YARIS,13579,Radiador nuevo,22-08-25,150,
TOYOTA HILUX,A00BV6A,Null,22-08-25,,
TOYOTA COROLLA,AA22M70,Limpieza y reparación,22-08-25,80,
FORD FIESTA,AB570IE,Null,25-08-25,,
MITSUBISHI LANCER,AA906LD,Null,25-08-25,,
GRAND CHEROKEE,AA940M0,Null,25-08-25,,
TOYOTA YARIS,AA18G30,Null,25-08-25,,
FIAT PALIO,AHB48N,Radiador nuevo,27-08-25,60,
TOYOTA 4RUNNER,AB292WT,Limpieza y reparación,27-08-25,150,
FORD EXPLORER,AH959EG,Cambio de TQ,28-08-25,80,
CHERY ARAUCA,AD756YD,Null,29-08-25,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Aveo LT negro,AH830VG,Limpieza y lavado,2025-02-09,50,
Caravan blanca,AD038PD,Limpieza y reparación,2025-01-09,50,
Chevrolet Aveo negro,AE421SM,Limpieza y reparación,26-09-25,40,
Chevrolet Aveo azul marino,—,Limpieza y lavado,23-09-25,40,
Chevrolet Epica,BCD43G,Limpieza y reparación,15-09-25,80,
Chevrolet Optra,NAZ19N,Reparación,17-09-25,50,
Chevrolet Optra verde,DCG88F,Limpieza y cambio de tanque,22-09-25,60,
Chevrolet Silverado,A44AZ0C,Limpieza y lavado,23-09-25,80,
Chevrolet Silverado,A61CL5D,Limpieza y reparación,23-09-25,60,
Chevrolet Spark,AH107KA,Limpieza y lavado,2025-09-09,60,
Chery Arauca rojo,AK083IA,Limpieza,18-09-25,40,
Chery X1,AF430UM,Limpieza y lavado,2025-12-09,60,
Chery X1,AG045TA,Limpieza,15-09-25,50,
Chery X1 blanco,AD63YD,Reparación,24-09-25,40,
Chery X1 plateado,AD795LD,Reparación y montura de tanque,23-09-25,70,
Fiat Palio,AC14DW,Limpieza y lavado,25-09-25,40,
Ford Ecosport blanco,NBB43S,Limpieza sistema,16-09-25,40,
Ford Fiesta azul,AF980CA,Radiador nuevo,2025-12-09,190,
Ford Fiesta blanco,AA679WN,Limpieza y cambio de tanque,2025-01-09,60,
Ford Focus,AA171WP,—,2025-04-09,—,
Ford Grand Blazer,AA613P0,Montura de tanque,18-09-25,80,
Ford verde,AB498AM,Limpieza,19-09-25,60,
Honda Civic gris,AA02E90,Limpieza,30-09-25,40,
Honda Civic plateado,GDJ37P,Limpieza y montura de tanque,2025-12-09,80,
Honda Fit,AA91G30,Limpieza y reparación,2025-12-09,90,
Hyundai Atos rojo,AA13E70,Limpieza,24-09-25,40,
Hyundai Atos,AA01G50,Limpieza y cambio de tanque,16-09-25,60,
Hyundai Sonata,AA92G10,Limpieza y reparación,2025-03-09,70,
Hyundai Spark azul celeste,DCU22S,Limpieza y reparación,26-09-25,50,
Jeep 4x4 rojo,AB553SS,Reparación,16-09-25,30,
Jeep Cheroke,AH597AG,Reparación abrazadera,18-09-25,40,
Jeep Cheroke,AA940M0,Garantía,2025-01-09,—,
Jeep gris,AJ075UA,Limpieza,2025-05-09,40,
Jeep plateado,DBW49J,Limpieza,24-09-25,60,
Jeep plateada,AB284WV,Reparación,18-09-25,60,
Jeep roja 4x4,AB553SS,Limpieza y reparación,2025-11-09,80,
Kia Cerato Beigh,AH451AG,Cambio de manguera y anticorrosivo,24-09-25,50,
Mazda plateado,GDH91U,Montura de radiador nuevo,2025-05-09,150,
Mercedes SL500,AB833SI,Limpieza y lavado,23-09-25,70,
Mitsubishi Lancer 2012,AB664VF,Limpieza y montura de tanque,16-09-25,60,
Mitsubishi Montero Sport,AA71G90,Limpieza y montura de tanque,2025-10-09,80,
Mitsubishi Montero Sport azul,700730,Reparación,30-09-25,80,
Neon Chrysler Beigh,AA315XN,Limpieza y lavado,25-09-25,60,
Neon Chrysler gris,DAL31V,Limpieza y reparación,29-09-25,60,
Neon Chrysler,OAF85A,Limpieza y reparación,2025-11-09,60,
Nissan B13 plateado,12572,Limpieza y cambio de tanque,16-09-25,60,
Nissan Sentra 16 Beigh,AA009NA,Limpieza y reparación,23-09-25,60,
Nissan Sentra,AA62H70,Limpieza,30-09-25,40,
Nissan Z negro,AB373D0,Limpieza y reparación,18-09-25,40,
Renault negro,AA419E0,Limpieza y reparación,17-09-25,50,
Toyota Camry Beigh 98,KBD57G,Reparación,26-09-25,60,
Toyota Corolla,AA2490N,—,2025-04-09,—,
Toyota Meru blanca,0AK07S,Limpieza y reparación,2025-10-09,60,
Toyota Meru Prado verde,AA180BN,Limpieza y lavado,22-09-25,50,
Toyota Terios gris,10410,"Limpieza, reparación, cambio de tq",2025-01-09,70,
Toyota XL1 gris,OXAA42V,Limpieza y lavado,2025-10-09,40,
Toyota Yaris,AG818DV,Limpieza y reparación,2025-03-09,60,
Toyota Yaris 2006,AD892TG,Limpieza y cambio de toma de agua,17-09-25,50,
Toyota Yaris 2010 negro,AA73D70,Reparación y cambio de tanque,18-09-25,110,
,,,,,
,,,,,
,,,,,
Ford Explorer,AD983PA,Reparación,1-Oct,60,
Toyota Terios roja,VBP54N,Cambio de tapa,2-Oct,50,
Jeep Cheroke V8 gris,MDB35U,Montura de tanque,2-Oct,110,
Toyota Terios azul oscuro,0A085G,—,2-Oct,50,
Toyota Corolla plateado,FBD11K,"Limpieza y reparación, cambio de tq",3-Oct,60,
Chery X1 rojo,AK795IA,Limpieza y lavado de bloque,6-Oct,70,
Jeep 4x4 gris,MDE35U,Limpieza y reparación,6-Oct,60,
Nissan B15 verde,YMD728,Limpieza y reparación,6-Oct,70,
Jeep Limited 4x4 plateada,AA1440L,"Limpieza, reparación y cambio de tq",7-Oct,70,
Ford Explorer negra,AH504AG,"Limpieza, cambio de tq y reparación",8-Oct,50,
Toyota Corolla,AA225NF,"Limpieza, cambio de tq y reparación",8-Oct,80,
Mitsubishi L300,A34CY0A,Limpieza y montura de tanque,9-Oct,70,
Mitsubishi plateada,AG753ZG,Limpieza y reparación,10-Oct,60,
Nissan Pathfinder negra,AA070DU,Limpieza y reparación,10-Oct,60,
Jeep Liberty beigh,AD867SA,Limpieza y reparación,10-Oct,60,
Toyota Avalon plateada,AA41F20,Limpieza y cambio de tanque,10-Oct,80,
Fiat Palio plateado,ME097K,Lavado y limpieza,13-Oct,40,
Mitsubishi Lancer,EAH81Y,Limpieza,14-Oct,40,
Toyota Camry blanco,AI230CK,Limpieza,14-Oct,40,
Chery Tiggo blanco,AF173NA,Limpieza,14-Oct,40,
Mitsubishi Montero Sport azul,AA62N80,Radiador nuevo,15-Oct,210,
Toyota 4Runner plateada,AB768LF,Limpieza y reparación,15-Oct,60,
Hyundai Elantra plateado,AF0100A,Limpieza,16-Oct,50,
Hyundai Matrix rojo,AA61D20,Limpieza y reparación,16-Oct,60,
Nissan Sentra B14,ABW63G,Limpieza y cambio de tanque,21-Oct,80,
Ford Explorer,SBJ51X,Limpieza y cambio de tq inferior,27-Oct,110,
Honda Civic plateado,AA92G60,Limpieza y cambio de tanque,27-Oct,80,
Hyundai Tucson blanco,AA24H20,Limpieza y reparación,28-Oct,70,
Mazda rojo,AAR00L,Radiador nuevo,29-Oct,230,
Chevrolet Aveo,AC198PF,Limpieza y reparación,31-Oct,60,
Ford Explorer,AA568IV,Cambio de tanque y reparación,31-Oct,70,
