CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,2,0,2,,HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,,2,,HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,,
HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,5,0,5,,HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,,5,,HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,,
HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,1,0,1,,HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,,1,,HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,,
HYTQ0004,HYUNDAI GRANDIS ENT,4,0,4,,HYTQ0004,HYUNDAI GRANDIS ENT,,4,,HYTQ0004,HYUNDAI GRANDIS ENT,,
HYTQ0005,HYUNDAI VERACRUZ ENT,15,0,15,,HYTQ0005,HYUNDAI VERACRUZ ENT,,15,,HYTQ0005,HYUNDAI VERACRUZ ENT,,
HYTQ0006,HYUNDAI VERACRUZ. SAL,6,0,6,,HYTQ0006,HYUNDAI VERACRUZ. SAL,,6,,HYTQ0006,HYUNDAI VERACRUZ. SAL,,
HYTQ0007,HYUNDAI H1 . SAL ,1,0,1,,HYTQ0007,HYUNDAI H1 . SAL ,,1,,HYTQ0007,HYUNDAI H1 . SAL ,,
HYTQ0008,HYUNDAI MATRIX SAL,3,0,3,,HYTQ0008,HYUNDAI MATRIX SAL,,3,,HYTQ0008,HYUNDAI MATRIX SAL,,
HYTQ0009,HYUNDAI MATRIX ENT,10,0,10,,HYTQ0009,HYUNDAI MATRIX ENT,,10,,HYTQ0009,HYUNDAI MATRIX ENT,,
HYTQ0010,HYUNDAI ACCENT ENT ,10,0,10,,HYTQ0010,HYUNDAI ACCENT ENT ,,10,,HYTQ0010,HYUNDAI ACCENT ENT ,,
HYTQ0011,HYUNDAI ACCENT SAL,4,0,4,,HYTQ0011,HYUNDAI ACCENT SAL,,4,,HYTQ0011,HYUNDAI ACCENT SAL,,
HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,4,0,4,,HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,,4,,HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,,
HYTQ0013,HYUNDAI ELENTRA ENT 00-001,7,0,7,,HYTQ0013,HYUNDAI ELENTRA ENT 00-001,,7,,HYTQ0013,HYUNDAI ELENTRA ENT 00-001,,
HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,4,0,4,,HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,,4,,HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,,
HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,8,0,8,,HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,,8,,HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,,
HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,14,0,14,,HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,,14,,HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,,
HYTQ0017,HYUNDAI H-1 2.5 ENT ,3,0,3,,HYTQ0017,HYUNDAI H-1 2.5 ENT ,,3,,HYTQ0017,HYUNDAI H-1 2.5 ENT ,,
HYTQ0018,HYUNDAI H1 2.5 SAL,1,0,1,,HYTQ0018,HYUNDAI H1 2.5 SAL,,1,,HYTQ0018,HYUNDAI H1 2.5 SAL,,
HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,7,0,7,,HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,,7,,HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,,
HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,4,0,4,,HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,,4,,HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,,
HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,21,0,21,,HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,,21,,HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,,
HYTQ0022,HYUNDAI GETZ DE SAL,11,0,11,,HYTQ0022,HYUNDAI GETZ DE SAL,,11,,HYTQ0022,HYUNDAI GETZ DE SAL,,
HYTQ0023,HYUNDAI GETZ ENTRADA,7,0,7,,HYTQ0023,HYUNDAI GETZ ENTRADA,,7,,HYTQ0023,HYUNDAI GETZ ENTRADA,,
HYTQ0024,HYUNDAI ATOS SAL,13,0,13,,HYTQ0024,HYUNDAI ATOS SAL,,13,,HYTQ0024,HYUNDAI ATOS SAL,,
HYTQ0025,HYUNDAI ATOS ENT RAYADO,6,0,6,,HYTQ0025,HYUNDAI ATOS ENT RAYADO,,6,,HYTQ0025,HYUNDAI ATOS ENT RAYADO,,
HYTQ0026,HYUNDAI ATOS LISO ENT,1,0,1,,HYTQ0026,HYUNDAI ATOS LISO ENT,,1,,HYTQ0026,HYUNDAI ATOS LISO ENT,,
HYTQ0027,HYUNDAI ATOS SAL RAYADO,3,0,3,,HYTQ0027,HYUNDAI ATOS SAL RAYADO,,3,,HYTQ0027,HYUNDAI ATOS SAL RAYADO,,
HYTQ0028,HYUNDAI ATOS SAL LISO,1,0,1,,HYTQ0028,HYUNDAI ATOS SAL LISO,,1,,HYTQ0028,HYUNDAI ATOS SAL LISO,,
HYTQ0029,HYUNDAI SONATA BOQUETON ENT ,9,0,9,,HYTQ0029,HYUNDAI SONATA BOQUETON ENT ,,9,,HYTQ0029,HYUNDAI SONATA BOQUETON ENT ,,
HYTQ0030,HYUNDAI SONATA SAL CORTO,4,0,4,,HYTQ0030,HYUNDAI SONATA SAL CORTO,,4,,HYTQ0030,HYUNDAI SONATA SAL CORTO,,
HYTQ0031,HYUNDAI SONATA 3.3,7,0,7,,HYTQ0031,HYUNDAI SONATA 3.3,,7,,HYTQ0031,HYUNDAI SONATA 3.3,,
HYTQ0032,HYUNDAI GEST ENT,6,0,6,,HYTQ0032,HYUNDAI GEST ENT,,6,,HYTQ0032,HYUNDAI GEST ENT,,
HYTQ0033,HYUNDAI ATOS  SAL RAYADO,13,0,13,,HYTQ0033,HYUNDAI ATOS  SAL RAYADO,,13,,HYTQ0033,HYUNDAI ATOS  SAL RAYADO,,
HYTQ0034,HYUNDAI ATOS RAYADO. ENT ,2,0,2,,HYTQ0034,HYUNDAI ATOS RAYADO. ENT ,,2,,HYTQ0034,HYUNDAI ATOS RAYADO. ENT ,,
HYTQ0035,HYUNDAI ATOS RAYADO CORTO SAL,3,0,3,,HYTQ0035,HYUNDAI ATOS RAYADO CORTO SAL,,3,,HYTQ0035,HYUNDAI ATOS RAYADO CORTO SAL,,
HYTQ0036,HYUNDAI SONATA / KIA OPTIMA BOQUETON ENT,12,0,12,,HYTQ0036,HYUNDAI SONATA / KIA OPTIMA BOQUETON ENT,,12,,HYTQ0036,HYUNDAI SONATA / KIA OPTIMA BOQUETON ENT,,
HYTQ0037,HYUNDAI  SONATA 3.3 ENT ,7,0,7,,HYTQ0037,HYUNDAI  SONATA 3.3 ENT ,,7,,HYTQ0037,HYUNDAI  SONATA 3.3 ENT ,,
HYTQ0038,HYUNDAI SANTA FE CORTO ,4,0,4,,HYTQ0038,HYUNDAI SANTA FE CORTO ,,4,,HYTQ0038,HYUNDAI SANTA FE CORTO ,,
HYTQ0039,HYUNDAI TUCSON 09 RAYADO ENT,6,0,6,,HYTQ0039,HYUNDAI TUCSON 09 RAYADO ENT,,6,,HYTQ0039,HYUNDAI TUCSON 09 RAYADO ENT,,
HYTQ0040,HYUNDAI H1/ TUCSON .R,3,0,3,,HYTQ0040,HYUNDAI H1/ TUCSON .R,,3,,HYTQ0040,HYUNDAI H1/ TUCSON .R,,
HYTQ0041,HYUNDAI TUCSON CORTO. ENT ,4,0,4,,HYTQ0041,HYUNDAI TUCSON CORTO. ENT ,,4,,HYTQ0041,HYUNDAI TUCSON CORTO. ENT ,,
HYTQ0042,HYUNDAI TUCSON  CORTO RAYADO. ENT ,6,0,6,,HYTQ0042,HYUNDAI TUCSON  CORTO RAYADO. ENT ,,6,,HYTQ0042,HYUNDAI TUCSON  CORTO RAYADO. ENT ,,
HYTQ0043,HYUNDAI TUCSON LARGO ENT,10,0,10,,HYTQ0043,HYUNDAI TUCSON LARGO ENT,,10,,HYTQ0043,HYUNDAI TUCSON LARGO ENT,,
HYTQ0044,HYUNDAI  TUCSON LARGO BOQUETON ENT,6,0,6,,HYTQ0044,HYUNDAI  TUCSON LARGO BOQUETON ENT,,6,,HYTQ0044,HYUNDAI  TUCSON LARGO BOQUETON ENT,,
FOTQ0045,FORD FIESTA R SINC,3,0,3,,FOTQ0045,FORD FIESTA R SINC,,3,,HYTQ0045,FORD FIESTA R SINC,,
FOTQ0046,FORD RONCAM BOQUETON DOBLE ,5,0,5,,FOTQ0046,FORD RONCAM BOQUETON DOBLE ,,5,,HYTQ0046,FORD RONCAM BOQUETON DOBLE ,,
FOTQ0047,FORD FIESTA DOBLE BOQUETON ARRIBA,10,0,10,,FOTQ0047,FORD FIESTA DOBLE BOQUETON ARRIBA,,10,,HYTQ0047,FORD FIESTA DOBLE BOQUETON ARRIBA,,
FOTQ0048,FORD FIESTA / PICK UP,3,0,3,,FOTQ0048,FORD FIESTA / PICK UP,,3,,CHTQ0048,FORD FIESTA / PICK UP,,
FOTQ0049,FORD FIESTA SINC BOQUETON R,8,0,8,,FOTQ0049,FORD FIESTA SINC BOQUETON R,,8,,CHTQ0049,FORD FIESTA SINC BOQUETON R,,
FOTQ0050,FORD FIESTVA VIEJO SERP  ,3,0,3,,FOTQ0050,FORD FIESTVA VIEJO SERP  ,,3,,CHTQ0050,FORD FIESTVA VIEJO SERP  ,,
CHTQ0051,CHEVROLET SATURNO 2.0 R,2,0,2,,CHTQ0051,CHEVROLET SATURNO 2.0 R,,2,,CHTQ0051,CHEVROLET SATURNO 2.0 R,,
CHTQ0052,CHEVROLET WINSTAR ENT,3,0,3,,CHTQ0052,CHEVROLET WINSTAR ENT,,3,,CHTQ0052,CHEVROLET WINSTAR ENT,,
CHTQ0053,CHEVROLET FORD TAURUS/ WINSTAR,2,0,2,,CHTQ0053,CHEVROLET FORD TAURUS/ WINSTAR,,2,,CHTQ0053,CHEVROLET FORD TAURUS/ WINSTAR,,
CHTQ0054,CHEVROLET FORD TAURUS BOQUETON ,3,0,3,,CHTQ0054,CHEVROLET FORD TAURUS BOQUETON ,,3,,CHTQ0054,CHEVROLET FORD TAURUS BOQUETON ,,
CHTQ0055,CHEVROLET YOURNEY CHRYSLER,3,0,3,,CHTQ0055,CHEVROLET YOURNEY CHRYSLER,,3,,CHTQ0055,CHEVROLET YOURNEY CHRYSLER,,
CHTQ0056,CHEVROLET YORNEY LISO BOQUETON ENT,3,0,3,,CHTQ0056,CHEVROLET YORNEY LISO BOQUETON ENT,,3,,CHTQ0056,CHEVROLET YORNEY LISO BOQUETON ENT,,
CHTQ0057,CHEVROLET SWIFT CORTO R 37,6,0,6,,CHTQ0057,CHEVROLET SWIFT CORTO R 37,,6,,CHTQ0057,CHEVROLET SWIFT CORTO R 37,,
CHTQ0058,CHEVROLET SWIFT CORTO R 34,4,0,4,,CHTQ0058,CHEVROLET SWIFT CORTO R 34,,4,,CHTQ0058,CHEVROLET SWIFT CORTO R 34,,
HYTQ0059,HYUNDAI VERNA CORTO RAYADO ENT,10,0,10,,HYTQ0059,HYUNDAI VERNA CORTO RAYADO ENT,,10,,CHTQ0059,HYUNDAI VERNA CORTO RAYADO ENT,,
CHTQ0060,CHEVROLET CORSICA SAL,2,0,2,,CHTQ0060,CHEVROLET CORSICA SAL,,2,,CHTQ0060,CHEVROLET CORSICA SAL,,
SZTQ0061,SUZUKI CHINO CORTO ENT,17,0,17,,SZTQ0061,SUZUKI CHINO CORTO ENT,,17,,CHTQ0061,SUZUKI CHINO CORTO ENT,,
CHTQ0062,CHEVROLET WAGONEER CORTO SAL,12,0,12,,CHTQ0062,CHEVROLET WAGONEER CORTO SAL,,12,,CHTQ0062,CHEVROLET WAGONEER CORTO SAL,,
CHTQ0063,CHEVROLET WAGONEER CORTO ENT,3,0,3,,CHTQ0063,CHEVROLET WAGONEER CORTO ENT,,3,,CHTQ0063,CHEVROLET WAGONEER CORTO ENT,,
CHTQ0064,CHEVROLET WAGON R SAL,12,0,12,,CHTQ0064,CHEVROLET WAGON R SAL,,12,,CHTQ0064,CHEVROLET WAGON R SAL,,
CHTQ0065,CHEVROLET SPARK.ENT,13,0,13,,CHTQ0065,CHEVROLET SPARK.ENT,,13,,CHTQ0065,CHEVROLET SPARK.ENT,,
CHTQ0066,CHEVROLET SPARK SAL,6,0,6,,CHTQ0066,CHEVROLET SPARK SAL,,6,,CHTQ0066,CHEVROLET SPARK SAL,,
CHTQ0067,CHEVROLET WAGON R CON PIN ENT,4,0,4,,CHTQ0067,CHEVROLET WAGON R CON PIN ENT,,4,,CHTQ0067,CHEVROLET WAGON R CON PIN ENT,,
CHTQ0068, CHEVROLET BLAZER SAL ANCHO,2,0,2,,CHTQ0068, CHEVROLET BLAZER SAL ANCHO,,2,,CHTQ0068, CHEVROLET BLAZER SAL ANCHO,,
CHTQ0069,CHEVROLET BLAZER DELGADO R,3,0,3,,CHTQ0069,CHEVROLET BLAZER DELGADO R,,3,,CHTQ0069,CHEVROLET BLAZER DELGADO R,,
CHTQ0070,CHEVROLET CRUIZER / CHRYSLER R,2,0,2,,CHTQ0070,CHEVROLET CRUIZER / CHRYSLER R,,2,,CHTQ0070,CHEVROLET CRUIZER / CHRYSLER R,,
CHTQ0071,CHEVROLET BLAZER SAL SERP,7,0,7,,CHTQ0071,CHEVROLET BLAZER SAL SERP,,7,,CHTQ0071,CHEVROLET BLAZER SAL SERP,,
CHTQ0072,CHEVROLET GM  SAL BLAZER,6,0,6,,CHTQ0072,CHEVROLET GM  SAL BLAZER,,6,,CHTQ0072,CHEVROLET GM  SAL BLAZER,,
CHTQ0073,CHEVROLET GM BLAZER CORTO,9,0,9,,CHTQ0073,CHEVROLET GM BLAZER CORTO,,9,,CHTQ0073,CHEVROLET GM BLAZER CORTO,,
CHTQ0074,CHEVROLET. GM BLAZER ENT BOQUETON ENT,2,0,2,,CHTQ0074,CHEVROLET. GM BLAZER ENT BOQUETON ENT,,2,,CHTQ0074,CHEVROLET. GM BLAZER ENT BOQUETON ENT,,
CHTQ0075,CHEVROLET GM BLAZER BOQUETON INCLINADO,14,0,14,,CHTQ0075,CHEVROLET GM BLAZER BOQUETON INCLINADO,,14,,CHTQ0075,CHEVROLET GM BLAZER BOQUETON INCLINADO,,
CHTQ0076,CHEVROLET CAUTIVA. ENT,7,0,7,,CHTQ0076,CHEVROLET CAUTIVA. ENT,,7,,CHTQ0076,CHEVROLET CAUTIVA. ENT,,
CHTQ0077,CHEVROLET  CAUTIVA SAL,5,0,5,,CHTQ0077,CHEVROLET  CAUTIVA SAL,,5,,CHTQ0077,CHEVROLET  CAUTIVA SAL,,
CHTQ0078,CHEVROLET CAVALIER R,11,0,11,,CHTQ0078,CHEVROLET CAVALIER R,,11,,CHTQ0078,CHEVROLET CAVALIER R,,
CHTQ0079,CHEVROLET CHAYANE RAYADO.R ,8,0,8,,CHTQ0079,CHEVROLET CHAYANE RAYADO.R ,,8,,CHTQ0079,CHEVROLET CHAYANE RAYADO.R ,,
CHTQ0080,CHEVROLET CHAYANE GRUESO SAL,2,0,2,,CHTQ0080,CHEVROLET CHAYANE GRUESO SAL,,2,,CHTQ0080,CHEVROLET CHAYANE GRUESO SAL,,
CHTQ0081,CHEVROLET STEAM SAL ,3,0,3,,CHTQ0081,CHEVROLET STEAM SAL ,,3,,CHTQ0081,CHEVROLET STEAM SAL ,,
CHTQ0082,CHEVROLET MALIBU BOQUETON SERP  ,2,0,2,,CHTQ0082,CHEVROLET MALIBU BOQUETON SERP  ,,2,,CHTQ0082,CHEVROLET MALIBU BOQUETON SERP  ,,
CHTQ0083,CHEVROLET MALIBU SAL RAYADO GRANDE,1,0,1,,CHTQ0083,CHEVROLET MALIBU SAL RAYADO GRANDE,,1,,CHTQ0083,CHEVROLET MALIBU SAL RAYADO GRANDE,,
CHTQ0084,CHEVROLET CAMARO R,3,0,3,,CHTQ0084,CHEVROLET CAMARO R,,3,,CHTQ0084,CHEVROLET CAMARO R,,
CHTQ0085,CHEVROLET CAMARON BOQUETON GRUESO,3,0,3,,CHTQ0085,CHEVROLET CAMARON BOQUETON GRUESO,,3,,CHTQ0085,CHEVROLET CAMARON BOQUETON GRUESO,,
RETQ0086,RENAULT SIMBOL. R,38,0,38,,RETQ0086,RENAULT SIMBOL. R,,38,,CHTQ0086,RENAULT SIMBOL. R,,
FITQ0087,FIAT 1 CON BOQUETON. R,27,0,27,,FITQ0087,FIAT 1 CON BOQUETON. R,,27,,CHTQ0087,FIAT 1 CON BOQUETON. R,,
FITQ0088,FIAT PALIO TEMPRA . R,19,0,19,,FITQ0088,FIAT PALIO TEMPRA . R,,19,,CHTQ0088,FIAT PALIO TEMPRA . R,,
FITQ0089,FIAT PALIO LISO PIN LATERALES. R,28,0,28,,FITQ0089,FIAT PALIO LISO PIN LATERALES. R,,28,,CHTQ0089,FIAT PALIO LISO PIN LATERALES. R,,
FITQ0090,FIAT PALIO 5 CON BOQUETON Y ANCLAJE .R  ,14,0,14,,FITQ0090,FIAT PALIO 5 CON BOQUETON Y ANCLAJE .R  ,,14,,CHTQ0090,FIAT PALIO 5 CON BOQUETON Y ANCLAJE .R  ,,
MATQ0091,MAZDA RAYADO RETENEDOR,35,0,35,,MATQ0091,MAZDA RAYADO RETENEDOR,,35,,CHTQ0091,MAZDA RAYADO RETENEDOR,,
MATQ0092,MAZDA FINO CORTO ENT,5,0,5,,MATQ0092,MAZDA FINO CORTO ENT,,5,,CHTQ0092,MAZDA FINO CORTO ENT,,
CHTQ0093,CHEVROLET SWIFT 34 CM. ENT,9,0,9,,CHTQ0093,CHEVROLET SWIFT 34 CM. ENT,,9,,CHTQ0093,CHEVROLET SWIFT 34 CM. ENT,,
CHTQ0094,CHEVROLET SWIFT  37. ENT,11,0,11,,CHTQ0094,CHEVROLET SWIFT  37. ENT,,11,,CHTQ0094,CHEVROLET SWIFT  37. ENT,,
CHTQ0095,CHEVROLET STEAM. ENT ,21,0,21,,CHTQ0095,CHEVROLET STEAM. ENT ,,21,,CHTQ0095,CHEVROLET STEAM. ENT ,,
HOTQ0096,HONDA CIVIC SEDAN CORTO ENT,9,0,9,,HOTQ0096,HONDA CIVIC SEDAN CORTO ENT,,9,,CHTQ0096,HONDA CIVIC SEDAN CORTO ENT,,
HOTQ0097,HONDA CIVIC CORTO 92-97 ENT,15,0,15,,HOTQ0097,HONDA CIVIC CORTO 92-97 ENT,,15,,CHTQ0097,HONDA CIVIC CORTO 92-97 ENT,,
HOTQ0098,HONDA CIVIC CORTO GRUESO SAL,3,0,3,,HOTQ0098,HONDA CIVIC CORTO GRUESO SAL,,3,,HOTQ0098,HONDA CIVIC CORTO GRUESO SAL,,
RETQ0099,RENAULT TWINGO ENT  93. 0.1,10,0,10,,RETQ0099,RENAULT TWINGO ENT  93. 0.1,,10,,RETQ0099,RENAULT TWINGO ENT  93. 0.1,,
RETQ0100,RENAULT LAGUNA BOQUETON. R,4,0,4,,RETQ0100,RENAULT LAGUNA BOQUETON. R,,4,,RETQ0100,RENAULT LAGUNA BOQUETON. R,,
RETQ0101,RENAULT LAGUNA  RAYADO. R,3,0,3,,RETQ0101,RENAULT LAGUNA  RAYADO. R,,3,,RETQ0101,RENAULT LAGUNA  RAYADO. R,,
RETQ0102,RENAULT TRAFFIC .R,8,0,8,,RETQ0102,RENAULT TRAFFIC .R,,8,,RETQ0102,RENAULT TRAFFIC .R,,
RETQ0103,RENAULT   MEGANE. R,13,0,13,,RETQ0103,RENAULT   MEGANE. R,,13,,RETQ0103,RENAULT   MEGANE. R,,
RETQ0104,RENAULT 98 BOQUETON GRANDE,3,0,3,,RETQ0104,RENAULT 98 BOQUETON GRANDE,,3,,RETQ0104,RENAULT 98 BOQUETON GRANDE,,
RETQ0105,RENAULT KANGOCLIO BOQUETON INCLINADO,16,0,16,,RETQ0105,RENAULT KANGOCLIO BOQUETON INCLINADO,,16,,RETQ0105,RENAULT KANGOCLIO BOQUETON INCLINADO,,
HOTQ0106,HONDA FIT CORTO. R,18,0,18,,HOTQ0106,HONDA FIT CORTO. R,,18,,RETQ0106,HONDA FIT CORTO. R,,
FITQ0107,FIAT PALIO 1.3  BOQUETON. R,12,0,12,,FITQ0107,FIAT PALIO 1.3  BOQUETON. R,,12,,FITTQ0107,FIAT PALIO 1.3  BOQUETON. R,,
FITQ0108,FIAT PALIO SIENNA RETENEDOR,4,0,4,,FITQ0108,FIAT PALIO SIENNA RETENEDOR,,4,,FITTQ0108,FIAT PALIO SIENNA RETENEDOR,,
FITQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,6,0,6,,FITQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,,6,,FITTQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,,
FOTQ0110,FORD ASTRA,17,0,17,,FOTQ0110,FORD ASTRA,,17,,FITTQ0110,FORD ASTRA,,
FOTQ0111,FORD FIESTA RETENEDOR,30,0,30,,FOTQ0111,FORD FIESTA RETENEDOR,,30,,FITTQ0111,FORD FIESTA RETENEDOR,,
